Recurso ID,nombre,submercado,capacidad_efectiva,factor_conversion,es_menor,tipo_despacho,tipo_generacion,inicio_operacion,estado,nombre_agente,combustible,clasificacion
Grp0016,MANANTIALES,MNT1,"3,15",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1992-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0017,NIMA,NIM1,"6,7",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1942-01-01 00:00:00,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0018,NUEVO LIBARE,LBR1,"5,1",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1994-01-01 00:00:00,OPERACION,EMPRESA DE ENERGIA DE PEREIRA S.A. E.S.P.,AGUA,NORMAL
Grp0019,ESMERALDA,ESMR,30,13202,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1963-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,FILO DE AGUA
Grp0020,OVEJAS,OVJ1,"0,82",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1939-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0021,FLORIDA,FLRD,"19,9","0,8333",SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1975-01-01 00:00:00,OPERACION,VATIA S.A. E.S.P.,AGUA,FILO DE AGUA
Grp0024,PASTALES,PST1,"0,7",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2/18/2004 12:00:00 AM,OPERACION,VATIA S.A. E.S.P.,AGUA,NORMAL
Grp0025,AUTG CEMENTOS DEL NARE,CMN1,9,0,NO,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2004-01-09 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,AUTOGENERADOR
Grp0026,GUATAPE,GTPE,560,70078,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1972-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0027,GUAVIO,GVIO,1250,98252,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,3/19/1993 12:00:00 AM,OPERACION,EMGESA S.A. E.S.P.,AGUA,NORMAL
Grp0028,LA HERRADURA,HRD1,"19,8","0,0001",SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2004-03-09 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,FILO DE AGUA
Grp0029,JAGUAS,JAGS,170,23503,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1988-01-07 00:00:00,OPERACION,ISAGEN S.A. E.S.P.,AGUA,NORMAL
Grp0031,LA TASAJERA,LTSJ,306,80935,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,5/20/1994 12:00:00 AM,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0032,LA VUELTA,VLT1,"11,6",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,11/22/2004 12:00:00 AM,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0034,DOLORES,DLR1,"8,3",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,2000-09-05 00:00:00,INACTIVO,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,VACÍO
Grp0035,CARACOLI,CRC1,"2,6",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1935-01-01 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0036,REMEDIOS,PMR1,"0,75",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,9/19/2007 12:00:00 AM,OPERACION,HZ ENERGY S.A.S. E.S.P.,AGUA,NORMAL
Grp0037,RIO SAPUYES,SPY1,"1,65",0,SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,1954-01-01 00:00:00,OPERACION,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,AGUA,NORMAL
Grp0039,PLAYAS,PLYS,207,17182,NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1988-01-08 00:00:00,OPERACION,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,AGUA,NORMAL
Grp0040,PRADO,PRDO,51,"0,482",NO,DESPACHADO CENTRALMENTE,HIDRAULICA,1973-01-03 00:00:00,OPERACION,CELSIA COLOMBIA S.A. E.S.P.,AGUA,NORMAL
Grp0042,RIO MAYO,RMYO,"19,8","1,7",SI,NO DESPACHADO CENTRALMENTE,HIDRAULICA,7/20/1995 12:00:00 AM,OPERACION,CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,AGUA,FILO DE AGUA
